,year,state,state_po,candidate,party,candidatevotes,totalvotes,join_col,Winner,vote_percent
1099,2016,Rhode Island,RI,"Clinton, Hillary",Democratic,252525,464144,2016-Democratic,False,54.41
1100,2016,Rhode Island,RI,"Trump, Donald J.",Republican,180543,464144,2016-Republican,True,38.9
1101,2016,South Carolina,SC,"Trump, Donald J.",Republican,1155389,2103027,2016-Republican,True,54.94
1102,2016,South Carolina,SC,"Clinton, Hillary",Democratic,855373,2103027,2016-Democratic,False,40.67
1103,2016,South Dakota,SD,"Trump, Donald J.",Republican,227721,370093,2016-Republican,True,61.53
1104,2016,South Dakota,SD,"Clinton, Hillary",Democratic,117458,370093,2016-Democratic,False,31.74
1105,2016,Tennessee,TN,"Trump, Donald J.",Republican,1522925,2508027,2016-Republican,True,60.72
1106,2016,Tennessee,TN,"Clinton, Hillary",Democratic,870695,2508027,2016-Democratic,False,34.72
1107,2016,Texas,TX,"Trump, Donald J.",Republican,4685047,8969226,2016-Republican,True,52.23
1108,2016,Texas,TX,"Clinton, Hillary",Democratic,3877868,8969226,2016-Democratic,False,43.24
1109,2016,Utah,UT,"Trump, Donald J.",Republican,515211,1131317,2016-Republican,True,45.54
1110,2016,Utah,UT,"Clinton, Hillary",Democratic,310674,1131317,2016-Democratic,False,27.46
1111,2016,Vermont,VT,"Clinton, Hillary",Democratic,178573,320467,2016-Democratic,False,55.72
1112,2016,Vermont,VT,"Trump, Donald J.",Republican,95369,320467,2016-Republican,True,29.76
1113,2016,Virginia,VA,"Clinton, Hillary",Democratic,1981473,3982752,2016-Democratic,False,49.75
1114,2016,Virginia,VA,"Trump, Donald J.",Republican,1769443,3982752,2016-Republican,True,44.43
1115,2016,Washington,WA,"Clinton, Hillary",Democratic,1742718,3317019,2016-Democratic,False,52.54
1116,2016,Washington,WA,"Trump, Donald J.",Republican,1221747,3317019,2016-Republican,True,36.83
1117,2016,West Virginia,WV,"Trump, Donald J.",Republican,489371,713051,2016-Republican,True,68.63
1118,2016,West Virginia,WV,"Clinton, Hillary",Democratic,188794,713051,2016-Democratic,False,26.48
1119,2016,Wisconsin,WI,"Trump, Donald J.",Republican,1405284,2976150,2016-Republican,True,47.22
1120,2016,Wisconsin,WI,"Clinton, Hillary",Democratic,1382536,2976150,2016-Democratic,False,46.45
1121,2016,Wyoming,WY,"Trump, Donald J.",Republican,174419,258788,2016-Republican,True,67.4
1122,2016,Wyoming,WY,"Clinton, Hillary",Democratic,55973,258788,2016-Democratic,False,21.63
